word,bannedWords
RELÁMPAGO,"['luz', 'tormenta', 'cielo', 'electricidad']"
CLIMA,"['tiempo', 'temperatura', 'ambiente', 'atmósfera']"
VERANO,"['calor', 'sol', 'vacaciones', 'playa']"
INVIERNO,"['frío', 'nieve', 'abrigo', 'temporada']"
PRIMAVERA,"['flores', 'color', 'clima', 'estación']"
OTOÑO,"['hojas', 'caer', 'frío', 'estación']"
MAÑANA,"['día', 'temprano', 'despertar', 'sol']"
NOCHE,"['oscuro', 'dormir', 'luna', 'tarde']"
TARDE,"['día', 'sol', 'hora', 'tiempo']"
HORA,"['tiempo', 'reloj', 'minutos', 'segundos']"
MINUTO,"['tiempo', 'segundos', 'reloj', 'medir']"
SEGUNDO,"['tiempo', 'rápido', 'reloj', 'medir']"
AÑO,"['meses', 'tiempo', 'calendario', 'duración']"
MES,"['días', 'calendario', 'tiempo', 'periodo']"
SEMANA,"['días', 'lunes', 'tiempo', 'periodo']"
DÍA,"['sol', 'luz', 'tiempo', 'mañana']"
PERSONA,"['humano', 'individuo', 'gente', 'ser']"
HOMBRE,"['persona', 'masculino', 'adulto', 'género']"
MUJER,"['persona', 'femenino', 'adulto', 'género']"
NIÑO,"['pequeño', 'joven', 'edad', 'escuela']"
FAMILIA,"['padres', 'hijos', 'casa', 'relación']"
AMIGO,"['persona', 'confianza', 'relación', 'cercano']"
TRABAJO,"['empleo', 'oficina', 'dinero', 'labor']"
DINERO,"['pagar', 'moneda', 'valor', 'economía']"
BANCO,"['dinero', 'cuenta', 'ahorro', 'finanzas']"
TIENDA,"['comprar', 'productos', 'venta', 'local']"
MERCADO,"['comprar', 'comida', 'puestos', 'gente']"
ESCUELA,"['estudiar', 'clases', 'niños', 'profesor']"
UNIVERSIDAD,"['estudiar', 'grado', 'carrera', 'campus']"
PROFESOR,"['enseñar', 'clase', 'escuela', 'alumnos']"
ALUMNO,"['estudiar', 'clase', 'escuela', 'aprender']"
EXAMEN,"['prueba', 'estudiar', 'nota', 'evaluación']"
IDIOMA,"['hablar', 'lengua', 'palabras', 'comunicar']"
PALABRA,"['lenguaje', 'letras', 'hablar', 'texto']"
LETRA,"['alfabeto', 'escribir', 'carácter', 'texto']"
FRASE,"['palabras', 'oración', 'decir', 'texto']"
HISTORIA,"['pasado', 'relato', 'tiempo', 'evento']"
CUENTO,"['historia', 'ficción', 'leer', 'relato']"
NOVELA,"['libro', 'larga', 'historia', 'leer']"
POEMA,"['verso', 'rima', 'leer', 'poesía']"
CANCIÓN,"['música', 'letra', 'cantar', 'melodía']"
MÚSICA,"['sonido', 'ritmo', 'escuchar', 'melodía']"
BAILE,"['mover', 'música', 'ritmo', 'cuerpo']"
ARTE,"['crear', 'expresión', 'obra', 'cultura']"
PINTURA,"['colores', 'lienzo', 'arte', 'dibujar']"
ESCULTURA,"['forma', 'material', 'arte', 'figura']"
CINE,"['película', 'pantalla', 'ver', 'actor']"
TEATRO,"['escenario', 'actor', 'obra', 'público']"
DEPORTE,"['actividad', 'ejercicio', 'juego', 'competir']"
FÚTBOL,"['balón', 'gol', 'equipo', 'campo']"
BALONCESTO,"['canasta', 'balón', 'equipo', 'puntos']"
TENIS,"['raqueta', 'pelota', 'red', 'juego']"
NATACIÓN,"['agua', 'nadar', 'piscina', 'estilo']"
CORRER,"['velocidad', 'pies', 'ejercicio', 'mover']"
CAMINAR,"['pasos', 'lento', 'mover', 'andar']"
SALTAR,"['aire', 'arriba', 'caer', 'movimiento']"
LEVANTAR,"['peso', 'arriba', 'fuerza', 'mover']"
EMPUJAR,"['fuerza', 'mover', 'adelante', 'presión']"
TIRAR,"['jalar', 'fuerza', 'mover', 'atraer']"
ABRIR,"['cerrar', 'puerta', 'acceso', 'entrada']"
CERRAR,"['abrir', 'bloquear', 'puerta', 'fin']"
COMER,"['alimento', 'ingerir', 'plato', 'nutrir']"
BEBER,"['líquido', 'agua', 'vaso', 'ingerir']"
DORMIR,"['cama', 'descanso', 'noche', 'sueño']"
DESPERTAR,"['mañana', 'levantarse', 'dormir', 'abrir']"
PENSAR,"['mente', 'idea', 'cerebro', 'reflexión']"
CREAR,"['hacer', 'nuevo', 'idea', 'producir']"
CONSTRUIR,"['hacer', 'edificar', 'material', 'crear']"
ROMPER,"['quebrar', 'dañar', 'partir', 'destruir']"
ARREGLAR,"['reparar', 'fix', 'mejorar', 'solucionar']"
LIMPIAR,"['sucio', 'orden', 'quitar', 'higiene']"
ENSUCIAR,"['sucio', 'manchar', 'desorden', 'dañar']"
APRENDER,"['estudiar', 'saber', 'escuela', 'conocimiento']"
ENSEÑAR,"['explicar', 'profesor', 'aprender', 'clase']"
TRABAJAR,"['empleo', 'hacer', 'dinero', 'labor']"
JUGAR,"['diversión', 'niños', 'actividad', 'ocio']"
GANAR,"['victoria', 'premio', 'competir', 'éxito']"
PERDER,"['fallar', 'derrota', 'error', 'resultado']"
COMPRAR,"['dinero', 'tienda', 'adquirir', 'pagar']"
VENDER,"['dinero', 'producto', 'ofrecer', 'precio']"
PAGAR,"['dinero', 'compra', 'precio', 'transacción']"
COBRAR,"['dinero', 'recibir', 'pago', 'ingreso']"
VIAJAR,"['moverse', 'lugar', 'transporte', 'turismo']"
LLEGAR,"['destino', 'venir', 'fin', 'viaje']"
SALIR,"['ir', 'fuera', 'movimiento', 'entrada']"
ENTRAR,"['dentro', 'acceso', 'puerta', 'lugar']"
CANTAR,"['voz', 'música', 'melodía', 'canción']"
ESCRIBIR,"['letra', 'papel', 'texto', 'pluma']"
LEER,"['libro', 'texto', 'ojos', 'páginas']"
DIBUJAR,"['líneas', 'papel', 'arte', 'lápiz']"
BARRIO,"['zona', 'vecinos', 'calles', 'ciudad']"
RURAL,"['campo', 'pueblo', 'naturaleza', 'agrícola']"
URBANO,"['ciudad', 'calles', 'edificios', 'moderno']"
CAMPO,"['rural', 'tierra', 'cultivo', 'naturaleza']"
LAGUNA,"['agua', 'pequeña', 'lago', 'naturaleza']"
LAGO,"['agua', 'montaña', 'naturaleza', 'profundo']"
CASCADA,"['agua', 'caída', 'río', 'salto']"
VOLCÁN,"['lava', 'erupción', 'montaña', 'fuego']"
ISLA,"['mar', 'rodeada', 'tierra', 'océano']"
GOLFO,"['mar', 'playa', 'océano', 'agua']"
ACANTILADO,"['roca', 'altura', 'mar', 'caída']"
DUNA,"['arena', 'desierto', 'viento', 'montículo']"
NORTE,"['dirección', 'sur', 'brújula', 'mapa']"
SUR,"['dirección', 'norte', 'brújula', 'mapa']"
ESTE,"['dirección', 'amanecer', 'brújula', 'mapa']"
OESTE,"['dirección', 'atardecer', 'brújula', 'mapa']"
BRÚJULA,"['dirección', 'norte', 'mapa', 'orientar']"
MAPA,"['geografía', 'ruta', 'brújula', 'plano']"
LLAVE,"['abrir', 'cerradura', 'metal', 'puerta']"
CERRADURA,"['llave', 'puerta', 'cerrar', 'metal']"
CARTA,"['sobre', 'correo', 'mensaje', 'papel']"
PAQUETE,"['envío', 'caja', 'correo', 'envolver']"
CAJA,"['cartón', 'guardar', 'rectángulo', 'envase']"
BOLSA,"['llevar', 'compras', 'plástico', 'mano']"
DINOSAURIO,"['prehistórico', 'reptil', 'extinto', 'grande']"
ROBOT,"['máquina', 'metal', 'automático', 'tecnología']"
PLANETA,"['espacio', 'órbita', 'tierra', 'estrella']"
ESTRELLA,"['cielo', 'noche', 'brillo', 'espacio']"
GALAXIA,"['espacio', 'estrellas', 'universo', 'vía']"
UNIVERSO,"['espacio', 'cosmos', 'todo', 'galaxias']"
ÁNGEL,"['cielo', 'alado', 'celestial', 'ser']"
DIABLO,"['infierno', 'mal', 'rojo', 'ser']"
REY,"['corona', 'monarca', 'trono', 'reino']"
REINA,"['corona', 'monarca', 'trono', 'reino']"
CORONA,"['rey', 'reina', 'metal', 'poder']"
TRONO,"['rey', 'silla', 'poder', 'reino']"
CASTILLO,"['fortaleza', 'rey', 'torre', 'piedra']"
DRAGÓN,"['fuego', 'alas', 'fantasía', 'reptil']"
SIRENA,"['mar', 'mitad', 'mujer', 'canto']"
MAGO,"['magia', 'varita', 'hechizo', 'truco']"
MAGIA,"['truco', 'hechizo', 'mago', 'ilusión']"
TESORO,"['oro', 'riqueza', 'joyas', 'valor']"
ORO,"['metal', 'amarillo', 'rico', 'joya']"
PLATA,"['metal', 'gris', 'moneda', 'joya']"
ANILLO,"['dedo', 'joya', 'círculo', 'metal']"
COLLAR,"['cuello', 'joya', 'cadena', 'pendiente']"
PENDIENTE,"['oreja', 'joya', 'arete', 'colgar']"
RELOJES,"['tiempo', 'hora', 'muñeca', 'medir']"
BOMBA,"['explosión', 'estallar', 'guerra', 'artefacto']"
ESCUDO,"['proteger', 'armadura', 'guerra', 'defensa']"
ESPADA,"['cortar', 'metal', 'arma', 'lucha']"
CASCO,"['cabeza', 'proteger', 'motor', 'seguridad']"
ARMADURA,"['metal', 'proteger', 'guerrero', 'defensa']"
GUERRERO,"['pelear', 'arma', 'lucha', 'batalla']"
BATALLA,"['guerra', 'luchar', 'enemigo', 'combate']"
PAZ,"['tranquilidad', 'guerra', 'calma', 'armonía']"
AMOR,"['afecto', 'corazón', 'querer', 'sentimiento']"
ODIO,"['enfado', 'rechazo', 'sentimiento', 'ira']"
MIEDO,"['temor', 'asustar', 'pánico', 'sentimiento']"
ALEGRÍA,"['felicidad', 'risa', 'contento', 'emoción']"
TRISTEZA,"['llorar', 'pena', 'desánimo', 'emoción']"
ENOJO,"['ira', 'molestia', 'rabia', 'enfadar']"
SORPRESA,"['inesperado', 'asombro', 'extraño', 'emoción']"
VERGÜENZA,"['pena', 'rubor', 'incomodidad', 'sentimiento']"
CULPA,"['error', 'responsabilidad', 'remordimiento', 'sentimiento']"
ESPERANZA,"['fe', 'deseo', 'futuro', 'confianza']"
SUEÑO,"['dormir', 'descanso', 'imaginar', 'noche']"
REALIDAD,"['verdad', 'mundo', 'existir', 'hechos']"
MENTIRA,"['falso', 'engaño', 'decir', 'verdad']"
VERDAD,"['realidad', 'cierto', 'hecho', 'mentira']"
JUSTICIA,"['ley', 'equidad', 'verdad', 'derecho']"
LEY,"['norma', 'justicia', 'regla', 'derecho']"
DERECHO,"['ley', 'norma', 'justicia', 'legal']"
REGLA,"['norma', 'orden', 'seguir', 'ley']"
ORDEN,"['limpio', 'estructura', 'control', 'regla']"
CAOS,"['desorden', 'confusión', 'ruido', 'caótico']"
SILENCIO,"['ruido', 'callado', 'calma', 'quietud']"
RUÍDO,"['sonido', 'molestia', 'fuerte', 'escuchar']"
SONIDO,"['ruido', 'oír', 'vibración', 'audible']"
VOZ,"['hablar', 'canto', 'sonido', 'garganta']"
GARGANTA,"['voz', 'tragar', 'cuello', 'hablar']"
BRAZO,"['mano', 'codo', 'hombro', 'extremidad']"
PIERNA,"['rodilla', 'pie', 'caminar', 'extremidad']"
CABEZA,"['pensar', 'cráneo', 'cara', 'mentón']"
OJO,"['ver', 'mirar', 'párpado', 'visión']"
OREJA,"['oír', 'escuchar', 'audición', 'cabeza']"
NARIZ,"['oler', 'respirar', 'olfato', 'cara']"
BOCA,"['labios', 'comer', 'dientes', 'hablar']"
DIENTE,"['morder', 'masticar', 'boca', 'blanco']"
CORAZÓN,"['latir', 'sangre', 'amor', 'pecho']"
SANGRE,"['roja', 'corazón', 'vena', 'cuerpo']"
PULMÓN,"['respirar', 'aire', 'órgano', 'pecho']"
CEREBRO,"['mente', 'pensar', 'cráneo', 'órgano']"
HUESO,"['esqueleto', 'duro', 'cuerpo', 'articulación']"
PIEL,"['cuerpo', 'suave', 'tacto', 'cubrir']"
MANO,"['dedos', 'brazo', 'agarrar', 'palma']"
PIE,"['caminar', 'dedos', 'suela', 'pierna']"
DEDO,"['mano', 'pie', 'uña', 'señalar']"
UÑA,"['dedo', 'cortar', 'crecer', 'mano']"
PELO,"['cabeza', 'cabello', 'crecer', 'barba']"
BARBA,"['cara', 'hombre', 'pelo', 'afeitar']"
BIGOTE,"['nariz', 'cara', 'pelo', 'hombre']"
ROPA,"['vestir', 'camisa', 'pantalón', 'tejido']"
TEJIDO,"['ropa', 'hilo', 'tela', 'material']"
HILO,"['coser', 'tela', 'fibra', 'costura']"
AGUJA,"['coser', 'pinchar', 'hilo', 'metal']"
COSTURA,"['hilo', 'aguja', 'ropa', 'unir']"
BOTÓN,"['ropa', 'cerrar', 'camisa', 'coser']"
CREMALLERA,"['cerrar', 'ropa', 'dientes', 'abrir']"
GUANTE,"['mano', 'frío', 'ropa', 'dedos']"
BUFANDA,"['cuello', 'frío', 'ropa', 'invierno']"
CORBATA,"['cuello', 'formal', 'ropa', 'nudo']"
LENTE,"['ver', 'gafas', 'ojo', 'cristal']"
GAFAS,"['ver', 'ojos', 'cristal', 'lentes']"
LUZ,"['brillo', 'ver', 'sol', 'claridad']"
OSCURIDAD,"['noche', 'negro', 'sin luz', 'sombra']"
SOMBRA,"['oscuro', 'luz', 'figura', 'reflejo']"
REFLEJO,"['espejo', 'imagen', 'luz', 'ver']"
ESPEJO,"['reflejo', 'imagen', 'cristal', 'ver']"
PARED,"['casa', 'muro', 'separar', 'ladrillo']"
TECHO,"['casa', 'arriba', 'cubrir', 'tejado']"
SUELO,"['tierra', 'piso', 'caminar', 'base']"
PISO,"['suelo', 'casa', 'apartamento', 'nivel']"
ESCALERA,"['subir', 'bajar', 'peldaño', 'altura']"
ASCENSOR,"['subir', 'bajar', 'edificio', 'botón']"
PASILLO,"['caminar', 'estrecho', 'casa', 'corredor']"
COCHECITO,"['bebé', 'ruedas', 'empujar', 'carro']"
CUNA,"['bebé', 'dormir', 'madera', 'cama']"
BEBÉ,"['niño', 'pequeño', 'llorar', 'nacer']"
NACER,"['vida', 'bebé', 'nueva', 'venir']"
MORIR,"['vida', 'fin', 'fallecer', 'desaparecer']"
VIDA,"['vivir', 'ser', 'existir', 'muerte']"
MUNDO,"['tierra', 'planeta', 'gente', 'global']"
PAÍS,"['nación', 'territorio', 'estado', 'gobierno']"
GOBIERNO,"['estado', 'política', 'poder', 'ley']"
PRESIDENTE,"['gobierno', 'cargo', 'mandato', 'líder']"
MINISTRO,"['gobierno', 'cargo', 'política', 'función']"
ALCALDE,"['ciudad', 'gobierno', 'cargo', 'municipio']"
POLICÍA,"['ley', 'orden', 'seguridad', 'uniforme']"
BOMBERO,"['fuego', 'rescate', 'camión', 'uniforme']"
MÉDICO,"['salud', 'hospital', 'doctor', 'enfermo']"
ENFERMERA,"['salud', 'hospital', 'cuidar', 'paciente']"
HOSPITAL,"['médico', 'enfermo', 'salud', 'cama']"
FARMACIA,"['medicina', 'salud', 'remedio', 'pastilla']"
MEDICINA,"['salud', 'curar', 'doctor', 'tratamiento']"
VACUNA,"['inyección', 'protección', 'virus', 'salud']"
ENFERMEDAD,"['salud', 'dolor', 'virus', 'mal']"
DOLOR,"['molestia', 'herida', 'sentir', 'malestar']"
HERIDA,"['sangre', 'corte', 'dolor', 'daño']"
CURA,"['salud', 'sanar', 'tratamiento', 'remedio']"
CICATRIZ,"['herida', 'piel', 'marca', 'curación']"
ALIMENTO,"['comida', 'nutrir', 'comer', 'sustento']"
ENERGÍA,"['fuerza', 'poder', 'calor', 'electricidad']"
ELECTRICIDAD,"['corriente', 'energía', 'cable', 'enchufe']"
CABLE,"['electricidad', 'conectar', 'alambre', 'enchufe']"
ENCHUFE,"['cable', 'corriente', 'pared', 'electricidad']"
BATERÍA,"['energía', 'carga', 'electricidad', 'pilas']"
PILA,"['batería', 'energía', 'pequeña', 'carga']"
MÁQUINA,"['motor', 'aparato', 'trabajo', 'función']"
HERRAMIENTA,"['trabajo', 'usar', 'metal', 'utensilio']"
MARTILLO,"['clavar', 'golpear', 'herramienta', 'metal']"
CLAVO,"['martillo', 'metal', 'fijar', 'madera']"
SIERRA,"['cortar', 'dientes', 'madera', 'herramienta']"
TALADRO,"['agujero', 'perforar', 'herramienta', 'motor']"
TORNILLO,"['rosca', 'fijar', 'metal', 'girar']"
TUERCA,"['tornillo', 'metal', 'apretar', 'girar']"
CINTA,"['pegar', 'rollo', 'adhesivo', 'banda']"
PEGAMENTO,"['unir', 'pegar', 'adhesivo', 'líquido']"
TIJERAS,"['cortar', 'papel', 'dos', 'herramienta']"
PEGAR,"['unir', 'adhesivo', 'juntar', 'fijar']"
SEPARAR,"['dividir', 'abrir', 'distancia', 'apartar']"
JUNTAR,"['unir', 'acercar', 'mezclar', 'reunir']"
MOVER,"['desplazar', 'caminar', 'cambiar', 'sacar']"
PARAR,"['detener', 'quedar', 'seguir', 'alto']"
EMPEZAR,"['iniciar', 'comenzar', 'principio', 'arrancar']"
TERMINAR,"['acabar', 'finalizar', 'fin', 'concluir']"
PRIMERO,"['inicio', 'uno', 'orden', 'antes']"
ÚLTIMO,"['final', 'última', 'después', 'orden']"
MEDIO,"['centro', 'mitad', 'entre', 'posición']"
ARRIBA,"['alto', 'superior', 'subir', 'encima']"
ABAJO,"['bajo', 'inferior', 'descender', 'debajo']"
DENTRO,"['interior', 'entro', 'caja', 'adentro']"
FUERA,"['exterior', 'salir', 'afuera', 'lejos']"
CERCA,"['próximo', 'junto', 'distancia', 'cerca']"
LEJOS,"['distancia', 'distante', 'lejanía', 'apartado']"
RÁPIDO,"['veloz', 'corriendo', 'ágil', 'prisa']"
LENTO,"['despacio', 'calma', 'poco', 'tardar']"
FUERTE,"['poderoso', 'intenso', 'vigoroso', 'duro']"
DÉBIL,"['fuerte', 'frágil', 'poco', 'suave']"
DURO,"['firme', 'roca', 'solidez', 'resistente']"
BLANDO,"['suave', 'firme', 'tierno', 'esponjoso']"
CALIENTE,"['frío', 'temperatura', 'quemar', 'tibio']"
FRÍO,"['helado', 'temperatura', 'invierno', 'congelar']"
MOJADO,"['agua', 'humedad', 'seco', 'empapado']"
SECO,"['agua', 'humedad', 'árido', 'mojado']"
GRANDE,"['pequeño', 'tamaño', 'enorme', 'amplio']"
PEQUEÑO,"['chico', 'tamaño', 'mínimo', 'reducido']"
NUEVO,"['reciente', 'estrenar', 'viejo', 'actual']"
VIEJO,"['antiguo', 'edad', 'desgastado', 'mayor']"
BONITO,"['hermoso', 'lindo', 'atractivo', 'bello']"
FEO,"['horrible', 'lindo', 'malo', 'desagradable']"
RICO,"['sabroso', 'gustoso', 'comida', 'sabor']"
SALUDABLE,"['sano', 'nutritivo', 'bienestar', 'apto']"
FUERZA,"['poder', 'energía', 'músculo', 'potencia']"
VELOCIDAD,"['rápido', 'ritmo', 'prisa', 'mover']"
TRABAJO,"['empleo', 'labor', 'dinero', 'oficio']"
DESCANSO,"['reposo', 'relajarse', 'pausa', 'cama']"
VACACIONES,"['descanso', 'viaje', 'verano', 'ocio']"
FIESTA,"['celebración', 'música', 'baile', 'alegría']"
REGALO,"['obsequio', 'dar', 'presente', 'cumpleaños']"
CUMPLEAÑOS,"['fiesta', 'edad', 'tarta', 'celebrar']"
NAVIDAD,"['árbol', 'regalo', 'fiesta', 'invierno']"
AÑO NUEVO,"['fiesta', 'enero', 'celebrar', 'inicio']"
VERDE,"['color', 'hoja', 'naturaleza', 'césped']"
ROJO,"['color', 'sangre', 'fuego', 'cereza']"
AZUL,"['color', 'cielo', 'mar', 'frío']"
AMARILLO,"['color', 'sol', 'brillante', 'limón']"
NEGRO,"['color', 'oscuro', 'noche', 'carbón']"
BLANCO,"['color', 'nieve', 'claro', 'leche']"
MARRÓN,"['color', 'tierra', 'chocolate', 'café']"
GRIS,"['color', 'piedra', 'neutral', 'plata']"
NARANJA,"['color', 'fruta', 'cítrico', 'zumo']"
ROSADO,"['color', 'rosa', 'suave', 'femenino']"
VIOLETA,"['color', 'morado', 'flor', 'lavanda']"
MORADO,"['color', 'violeta', 'púrpura', 'lila']"
TURQUESA,"['color', 'azul', 'verde', 'mar']"
DORADO,"['oro', 'brillante', 'metal', 'lujo']"
PLATA,"['metal', 'gris', 'brillante', 'moneda']"
TRANSPARENTE,"['claro', 'ver', 'cristal', 'sin color']"
OPACO,"['oscuro', 'sin brillo', 'claro', 'transparente']"
